EU	ue
rejects	rechaza
German	alemán
call	llamar
to	a
boycott	boicot
British	británico
lamb	cordero
.	.
Peter	peter
Blackburn	blackburn
BRUSSELS	bruselas
1996-08-22	símil
The	la
European	europea
Commission	comisión
said	dijo
on	en
Thursday	viernes
it	este
disagreed	desacuerdo
with	con
advice	consejos
consumers	consumidores
shun	shun
until	hasta
scientists	científicos
determine	determinar
whether	si
mad	mad
cow	vaca
disease	enfermedad
can	puede
be	ser
transmitted	transmitidas
sheep	ovejas
Germany	alemania
's	desglose
representative	representante
the	el
Union	unión
veterinary	veterinaria
committee	comité
Werner	dietmar
Zwingmann	matthäus
Wednesday	miércoles
should	debería
buy	comprar
sheepmeat	cerdos
from	de
countries	países
other	otras
than	menos
Britain	bretaña
scientific	científica
was	fue
clearer	relistada
"	"
We	creemos
do	vale
n't	ː
support	apoyo
any	cualquier
such	tales
recommendation	recomendación
because	porque
we	pudiéramos
see	ver
grounds	razones
for	para
,	,
chief	jefe
spokesman	portavoz
Nikolaus	nikolaus
van	van
der	der
Pas	pas
told	dijo
a	un
news	noticias
briefing	informe
He	él
further	ulteriores
study	estudiar
required	requerido
and	y
if	si
found	encontrado
that	que
action	acción
needed	necesario
taken	tomado
by	por
proposal	propuesta
last	última
month	mes
Farm	granja
Commissioner	comisionado
Franz	franz
Fischler	wasserman
ban	sanciones
brains	cerebros
spleens	riñones
spinal	cerebral
cords	anillas
human	humanos
animal	animal
food	alimentos
chains	cadenas
highly	altamente
specific	específica
precautionary	precaución
move	mover
protect	proteger
health	salud
proposed	propuesto
EU-wide	amplia
measures	medidas
after	después
reports	informes
France	francia
under	bajo
laboratory	laboratorios
conditions	condiciones
could	pudiera
contract	contrato
Bovine	aviar
Spongiform	papiloma
Encephalopathy	encefalopatía
(	(
BSE	itt
)	)
--	-
But	pero
agreed	acordó
review	revisión
his	su
standing	espaldas
mational	situacional
officials	funcionarios
questioned	cuestionado
justified	justificado
as	como
there	hay
only	sólo
slight	leve
risk	riesgo
Spanish	español
Minister	ministro
Loyola	loyola
de	bande
Palacio	ortiz
had	había
earlier	anteriores
accused	denunciado
at	en
an	un
farm	granja
ministers	ministros
'	'
meeting	reunión
of	de
causing	causando
unjustified	injustificado
alarm	alarma
through	través
dangerous	peligroso
generalisation	generalización
Only	sólo
backed	respaldado
multidisciplinary	multidisciplinar
committees	comités
are	son
due	debido
re-examine	mina
issue	cuestión
early	inicios
next	siguiente
make	hacer
recommendations	recomendaciones
senior	senior
Sheep	perro
have	hayan
long	larga
been	sido
known	conocido
scrapie	inoculación
brain-wasting	cerebro
similar	similar
which	cual
is	es
believed	creyó
transferred	transferido
cattle	vacunos
feed	alimentar
containing	contiene
waste	desperdicio
farmers	agricultores
denied	negado
danger	peligro
their	sus
but	pero
expressed	expresado
concern	preocupación
government	gobierno
avoid	evitar
might	podría
influence	influencia
across	través
Europe	europa
What	qué
extremely	extremadamente
careful	cuidadoso
how	cómo
going	yendo
take	tomar
lead	principal
Welsh	galés
National	nacional
Farmers	agricultores
NFU	cnv
chairman	vicepresidente
John	john
Lloyd	lloyd
Jones	jones
BBC	bbc
radio	radio
Bonn	bonn
has	ha
led	lideró
efforts	esfuerzos
public	pública
consumer	consumidor
confidence	confianza
collapsed	derrumbó
in	en
March	junio
report	informe
suggested	sugerido
humans	seres
illness	enfermedad
eating	comiendo
contaminated	contaminada
beef	carne
imported	importados
47,600	adv
year	año
nearly	casi
half	mitad
total	total
imports	importaciones
It	este
brought	trajo
4,275	canul
tonnes	toneladas
mutton	panceta
some	algunos
10	teo
percent	ciento
overall	balance
Rare	raros
Hendrix	hendrix
song	canción
draft	draft
sells	vende
almost	casi
$	dólares
17,000	jud
LONDON	londres
A	una
rare	raros
handwritten	manuscritas
